data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-01-01,8.8,45.693962,9.662369,Bergamo,O3
2019-01-02,39.8,45.693962,9.662369,Bergamo,O3
2019-01-03,23.7,45.693962,9.662369,Bergamo,O3
2019-01-04,14.5,45.693962,9.662369,Bergamo,O3
2019-01-05,10.7,45.693962,9.662369,Bergamo,O3
2019-01-06,9.5,45.693962,9.662369,Bergamo,O3
2019-01-07,15.1,45.693962,9.662369,Bergamo,O3
2019-01-08,3.8,45.693962,9.662369,Bergamo,O3
2019-01-09,33.6,45.693962,9.662369,Bergamo,O3
2019-01-10,27.9,45.693962,9.662369,Bergamo,O3
2019-01-11,12.4,45.693962,9.662369,Bergamo,O3
2019-01-12,5.6,45.693962,9.662369,Bergamo,O3
2019-01-13,7.8,45.693962,9.662369,Bergamo,O3
2019-01-14,43.9,45.693962,9.662369,Bergamo,O3
2019-01-15,24.3,45.693962,9.662369,Bergamo,O3
2019-01-16,23.6,45.693962,9.662369,Bergamo,O3
2019-01-17,14.9,45.693962,9.662369,Bergamo,O3
2019-01-18,8.8,45.693962,9.662369,Bergamo,O3
2019-01-19,19.5,45.693962,9.662369,Bergamo,O3
2019-01-20,14.7,45.693962,9.662369,Bergamo,O3
2019-01-21,10.9,45.693962,9.662369,Bergamo,O3
2019-01-22,10.4,45.693962,9.662369,Bergamo,O3
2019-01-23,9.7,45.693962,9.662369,Bergamo,O3
2019-01-24,16.2,45.693962,9.662369,Bergamo,O3
2019-01-25,14.4,45.693962,9.662369,Bergamo,O3
2019-01-26,12.6,45.693962,9.662369,Bergamo,O3
2019-01-27,9.8,45.693962,9.662369,Bergamo,O3
2019-01-28,8.4,45.693962,9.662369,Bergamo,O3
2019-01-29,11.9,45.693962,9.662369,Bergamo,O3
2019-01-30,28.6,45.693962,9.662369,Bergamo,O3
2019-01-31,12.3,45.693962,9.662369,Bergamo,O3
2019-02-01,8.3,45.693962,9.662369,Bergamo,O3
2019-02-02,4.9,45.693962,9.662369,Bergamo,O3
2019-02-03,6.1,45.693962,9.662369,Bergamo,O3
2019-02-04,17.0,45.693962,9.662369,Bergamo,O3
2019-02-05,18.0,45.693962,9.662369,Bergamo,O3
2019-02-06,16.8,45.693962,9.662369,Bergamo,O3
2019-02-07,8.5,45.693962,9.662369,Bergamo,O3
2019-02-08,12.5,45.693962,9.662369,Bergamo,O3
2019-02-09,21.1,45.693962,9.662369,Bergamo,O3
2019-02-10,17.0,45.693962,9.662369,Bergamo,O3
2019-02-11,43.7,45.693962,9.662369,Bergamo,O3
2019-02-12,23.1,45.693962,9.662369,Bergamo,O3
2019-02-13,18.9,45.693962,9.662369,Bergamo,O3
2019-02-14,15.4,45.693962,9.662369,Bergamo,O3
2019-02-15,11.5,45.693962,9.662369,Bergamo,O3
2019-02-16,13.7,45.693962,9.662369,Bergamo,O3
2019-02-17,17.6,45.693962,9.662369,Bergamo,O3
2019-02-18,21.8,45.693962,9.662369,Bergamo,O3
2019-02-19,28.9,45.693962,9.662369,Bergamo,O3
2019-02-20,15.9,45.693962,9.662369,Bergamo,O3
2019-02-21,14.8,45.693962,9.662369,Bergamo,O3
2019-02-22,20.3,45.693962,9.662369,Bergamo,O3
2019-02-23,33.6,45.693962,9.662369,Bergamo,O3
2019-02-24,31.9,45.693962,9.662369,Bergamo,O3
2019-02-25,17.3,45.693962,9.662369,Bergamo,O3
2019-02-26,23.0,45.693962,9.662369,Bergamo,O3
2019-02-27,24.2,45.693962,9.662369,Bergamo,O3
2019-02-28,22.0,45.693962,9.662369,Bergamo,O3
2019-03-01,23.4,45.693962,9.662369,Bergamo,O3
2019-03-02,31.4,45.693962,9.662369,Bergamo,O3
2019-03-03,40.3,45.693962,9.662369,Bergamo,O3
2019-03-04,32.8,45.693962,9.662369,Bergamo,O3
2019-03-05,27.3,45.693962,9.662369,Bergamo,O3
2019-03-06,27.8,45.693962,9.662369,Bergamo,O3
2019-03-07,46.0,45.693962,9.662369,Bergamo,O3
2019-03-08,40.8,45.693962,9.662369,Bergamo,O3
2019-03-09,41.4,45.693962,9.662369,Bergamo,O3
2019-03-10,38.7,45.693962,9.662369,Bergamo,O3
2019-03-11,62.7,45.693962,9.662369,Bergamo,O3
2019-03-12,55.6,45.693962,9.662369,Bergamo,O3
2019-03-13,47.4,45.693962,9.662369,Bergamo,O3
2019-03-14,33.1,45.693962,9.662369,Bergamo,O3
2019-03-15,44.6,45.693962,9.662369,Bergamo,O3
2019-03-16,27.5,45.693962,9.662369,Bergamo,O3
2019-03-17,45.0,45.693962,9.662369,Bergamo,O3
2019-03-18,59.7,45.693962,9.662369,Bergamo,O3
2019-03-19,51.5,45.693962,9.662369,Bergamo,O3
2019-03-20,42.8,45.693962,9.662369,Bergamo,O3
2019-03-21,41.9,45.693962,9.662369,Bergamo,O3
2019-03-22,35.0,45.693962,9.662369,Bergamo,O3
2019-03-23,41.6,45.693962,9.662369,Bergamo,O3
2019-03-24,55.5,45.693962,9.662369,Bergamo,O3
2019-03-25,63.8,45.693962,9.662369,Bergamo,O3
2019-03-26,63.2,45.693962,9.662369,Bergamo,O3
2019-03-27,49.1,45.693962,9.662369,Bergamo,O3
2019-03-28,41.9,45.693962,9.662369,Bergamo,O3
2019-03-29,44.3,45.693962,9.662369,Bergamo,O3
2019-03-30,47.0,45.693962,9.662369,Bergamo,O3
2019-03-31,58.7,45.693962,9.662369,Bergamo,O3
2019-04-01,62.6,45.693962,9.662369,Bergamo,O3
2019-04-02,77.7,45.693962,9.662369,Bergamo,O3
2019-04-03,68.2,45.693962,9.662369,Bergamo,O3
2019-04-04,66.5,45.693962,9.662369,Bergamo,O3
2019-04-05,40.8,45.693962,9.662369,Bergamo,O3
2019-04-06,41.5,45.693962,9.662369,Bergamo,O3
2019-04-07,52.4,45.693962,9.662369,Bergamo,O3
2019-04-08,49.3,45.693962,9.662369,Bergamo,O3
2019-04-09,56.2,45.693962,9.662369,Bergamo,O3
2019-04-10,50.6,45.693962,9.662369,Bergamo,O3
2019-04-11,47.3,45.693962,9.662369,Bergamo,O3
2019-04-12,52.8,45.693962,9.662369,Bergamo,O3
2019-04-13,62.4,45.693962,9.662369,Bergamo,O3
2019-04-14,71.0,45.693962,9.662369,Bergamo,O3
2019-04-15,50.7,45.693962,9.662369,Bergamo,O3
2019-04-16,57.1,45.693962,9.662369,Bergamo,O3
2019-04-17,61.3,45.693962,9.662369,Bergamo,O3
2019-04-18,89.8,45.693962,9.662369,Bergamo,O3
2019-04-19,77.0,45.693962,9.662369,Bergamo,O3
2019-04-20,77.5,45.693962,9.662369,Bergamo,O3
2019-04-21,89.8,45.693962,9.662369,Bergamo,O3
2019-04-22,88.3,45.693962,9.662369,Bergamo,O3
2019-04-23,55.0,45.693962,9.662369,Bergamo,O3
2019-04-24,68.2,45.693962,9.662369,Bergamo,O3
2019-04-25,66.1,45.693962,9.662369,Bergamo,O3
2019-04-26,69.3,45.693962,9.662369,Bergamo,O3
2019-04-27,60.7,45.693962,9.662369,Bergamo,O3
2019-04-28,83.4,45.693962,9.662369,Bergamo,O3
2019-04-29,54.9,45.693962,9.662369,Bergamo,O3
2019-04-30,57.0,45.693962,9.662369,Bergamo,O3
2019-05-01,77.5,45.693962,9.662369,Bergamo,O3
2019-05-02,85.1,45.693962,9.662369,Bergamo,O3
2019-05-03,64.4,45.693962,9.662369,Bergamo,O3
2019-05-04,69.3,45.693962,9.662369,Bergamo,O3
2019-05-05,67.4,45.693962,9.662369,Bergamo,O3
2019-05-06,55.8,45.693962,9.662369,Bergamo,O3
2019-05-07,70.7,45.693962,9.662369,Bergamo,O3
2019-05-08,68.2,45.693962,9.662369,Bergamo,O3
2019-05-09,67.7,45.693962,9.662369,Bergamo,O3
2019-05-10,70.9,45.693962,9.662369,Bergamo,O3
2019-05-11,73.0,45.693962,9.662369,Bergamo,O3
2019-05-12,52.2,45.693962,9.662369,Bergamo,O3
2019-05-13,45.1,45.693962,9.662369,Bergamo,O3
2019-05-14,67.3,45.693962,9.662369,Bergamo,O3
2019-05-15,64.4,45.693962,9.662369,Bergamo,O3
2019-05-16,62.2,45.693962,9.662369,Bergamo,O3
2019-05-17,76.8,45.693962,9.662369,Bergamo,O3
