data_di_misurazione,valore_inquinante_misurato,Latitude,Longitude,denominazione,inquinante_misurato
2019-01-01,49,45.693962,9.662369,Bergamo,PM2.5
2019-01-02,15,45.693962,9.662369,Bergamo,PM2.5
2019-01-03,18,45.693962,9.662369,Bergamo,PM2.5
2019-01-04,25,45.693962,9.662369,Bergamo,PM2.5
2019-01-05,32,45.693962,9.662369,Bergamo,PM2.5
2019-01-06,27,45.693962,9.662369,Bergamo,PM2.5
2019-01-07,33,45.693962,9.662369,Bergamo,PM2.5
2019-01-08,52,45.693962,9.662369,Bergamo,PM2.5
2019-01-09,19,45.693962,9.662369,Bergamo,PM2.5
2019-01-10,16,45.693962,9.662369,Bergamo,PM2.5
2019-01-11,25,45.693962,9.662369,Bergamo,PM2.5
2019-01-12,36,45.693962,9.662369,Bergamo,PM2.5
2019-01-13,44,45.693962,9.662369,Bergamo,PM2.5
2019-01-14,8,45.693962,9.662369,Bergamo,PM2.5
2019-01-15,19,45.693962,9.662369,Bergamo,PM2.5
2019-01-16,18,45.693962,9.662369,Bergamo,PM2.5
2019-01-17,35,45.693962,9.662369,Bergamo,PM2.5
2019-01-18,33,45.693962,9.662369,Bergamo,PM2.5
2019-01-19,22,45.693962,9.662369,Bergamo,PM2.5
2019-01-20,30,45.693962,9.662369,Bergamo,PM2.5
2019-01-21,39,45.693962,9.662369,Bergamo,PM2.5
2019-01-22,33,45.693962,9.662369,Bergamo,PM2.5
2019-01-23,36,45.693962,9.662369,Bergamo,PM2.5
2019-01-24,36,45.693962,9.662369,Bergamo,PM2.5
2019-01-25,31,45.693962,9.662369,Bergamo,PM2.5
2019-01-26,34,45.693962,9.662369,Bergamo,PM2.5
2019-01-27,45,45.693962,9.662369,Bergamo,PM2.5
2019-01-28,34,45.693962,9.662369,Bergamo,PM2.5
2019-01-29,25,45.693962,9.662369,Bergamo,PM2.5
2019-01-30,22,45.693962,9.662369,Bergamo,PM2.5
2019-01-31,33,45.693962,9.662369,Bergamo,PM2.5
2019-02-01,32,45.693962,9.662369,Bergamo,PM2.5
2019-02-02,29,45.693962,9.662369,Bergamo,PM2.5
2019-02-03,29,45.693962,9.662369,Bergamo,PM2.5
2019-02-04,18,45.693962,9.662369,Bergamo,PM2.5
2019-02-05,27,45.693962,9.662369,Bergamo,PM2.5
2019-02-06,27,45.693962,9.662369,Bergamo,PM2.5
2019-02-07,35,45.693962,9.662369,Bergamo,PM2.5
2019-02-08,33,45.693962,9.662369,Bergamo,PM2.5
2019-02-09,30,45.693962,9.662369,Bergamo,PM2.5
2019-02-10,38,45.693962,9.662369,Bergamo,PM2.5
2019-02-11,11,45.693962,9.662369,Bergamo,PM2.5
2019-02-12,17,45.693962,9.662369,Bergamo,PM2.5
2019-02-13,22,45.693962,9.662369,Bergamo,PM2.5
2019-02-14,30,45.693962,9.662369,Bergamo,PM2.5
2019-02-15,36,45.693962,9.662369,Bergamo,PM2.5
2019-02-16,47,45.693962,9.662369,Bergamo,PM2.5
2019-02-17,40,45.693962,9.662369,Bergamo,PM2.5
2019-02-18,44,45.693962,9.662369,Bergamo,PM2.5
2019-02-19,45,45.693962,9.662369,Bergamo,PM2.5
2019-02-20,56,45.693962,9.662369,Bergamo,PM2.5
2019-02-21,59,45.693962,9.662369,Bergamo,PM2.5
2019-02-22,47,45.693962,9.662369,Bergamo,PM2.5
2019-02-23,25,45.693962,9.662369,Bergamo,PM2.5
2019-02-24,21,45.693962,9.662369,Bergamo,PM2.5
2019-02-25,36,45.693962,9.662369,Bergamo,PM2.5
2019-02-26,32,45.693962,9.662369,Bergamo,PM2.5
2019-02-27,29,45.693962,9.662369,Bergamo,PM2.5
2019-02-28,51,45.693962,9.662369,Bergamo,PM2.5
2019-03-01,49,45.693962,9.662369,Bergamo,PM2.5
2019-03-02,35,45.693962,9.662369,Bergamo,PM2.5
2019-03-03,27,45.693962,9.662369,Bergamo,PM2.5
2019-03-04,24,45.693962,9.662369,Bergamo,PM2.5
2019-03-05,15,45.693962,9.662369,Bergamo,PM2.5
2019-03-06,21,45.693962,9.662369,Bergamo,PM2.5
2019-03-07,20,45.693962,9.662369,Bergamo,PM2.5
2019-03-08,20,45.693962,9.662369,Bergamo,PM2.5
2019-03-09,19,45.693962,9.662369,Bergamo,PM2.5
2019-03-10,13,45.693962,9.662369,Bergamo,PM2.5
2019-03-11,7,45.693962,9.662369,Bergamo,PM2.5
2019-03-12,9,45.693962,9.662369,Bergamo,PM2.5
2019-03-13,14,45.693962,9.662369,Bergamo,PM2.5
2019-03-14,19,45.693962,9.662369,Bergamo,PM2.5
2019-03-15,14,45.693962,9.662369,Bergamo,PM2.5
2019-03-16,20,45.693962,9.662369,Bergamo,PM2.5
2019-03-17,30,45.693962,9.662369,Bergamo,PM2.5
2019-03-18,8,45.693962,9.662369,Bergamo,PM2.5
2019-03-19,10,45.693962,9.662369,Bergamo,PM2.5
2019-03-20,16,45.693962,9.662369,Bergamo,PM2.5
2019-03-21,20,45.693962,9.662369,Bergamo,PM2.5
2019-03-22,27,45.693962,9.662369,Bergamo,PM2.5
2019-03-23,28,45.693962,9.662369,Bergamo,PM2.5
2019-03-24,26,45.693962,9.662369,Bergamo,PM2.5
2019-03-25,23,45.693962,9.662369,Bergamo,PM2.5
2019-03-26,11,45.693962,9.662369,Bergamo,PM2.5
2019-03-27,15,45.693962,9.662369,Bergamo,PM2.5
2019-03-28,19,45.693962,9.662369,Bergamo,PM2.5
2019-03-29,21,45.693962,9.662369,Bergamo,PM2.5
2019-03-30,24,45.693962,9.662369,Bergamo,PM2.5
2019-03-31,24,45.693962,9.662369,Bergamo,PM2.5
2019-04-01,26,45.693962,9.662369,Bergamo,PM2.5
2019-04-02,25,45.693962,9.662369,Bergamo,PM2.5
2019-04-03,20,45.693962,9.662369,Bergamo,PM2.5
2019-04-04,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-05,11,45.693962,9.662369,Bergamo,PM2.5
2019-04-06,25,45.693962,9.662369,Bergamo,PM2.5
2019-04-07,17,45.693962,9.662369,Bergamo,PM2.5
2019-04-08,14,45.693962,9.662369,Bergamo,PM2.5
2019-04-09,14,45.693962,9.662369,Bergamo,PM2.5
2019-04-10,18,45.693962,9.662369,Bergamo,PM2.5
2019-04-11,19,45.693962,9.662369,Bergamo,PM2.5
2019-04-12,17,45.693962,9.662369,Bergamo,PM2.5
